  **** HLS Build v2024.2 5238294
INFO: [HLS 200-2005] Using work_dir C:/HLS-multirate-DSP/HLS_FIR/Transposed_Folded_FIR_HLS/Transposed_Folded_FIR_HLS 
INFO: [HLS 200-1505] Using default flow_target 'vivado'
Resolution: For help on HLS 200-1505 see docs.xilinx.com/access/sources/dita/topic?Doc_Version=2024.2%20English&url=ug1448-hls-guidance&resourceid=200-1505.html
INFO: [HLS 200-1465] Applying ini 'syn.file=FIR_HLS.cpp' from C:/HLS-multirate-DSP/HLS_FIR/Transposed_Folded_FIR_HLS/hls_config.cfg(7)
INFO: [HLS 200-10] Adding design file 'C:/HLS-multirate-DSP/HLS_FIR/Transposed_Folded_FIR_HLS/FIR_HLS.cpp' to the project
INFO: [HLS 200-1465] Applying ini 'syn.file=FIR_HLS.h' from C:/HLS-multirate-DSP/HLS_FIR/Transposed_Folded_FIR_HLS/hls_config.cfg(8)
INFO: [HLS 200-10] Adding design file 'C:/HLS-multirate-DSP/HLS_FIR/Transposed_Folded_FIR_HLS/FIR_HLS.h' to the project
INFO: [HLS 200-1465] Applying ini 'syn.file=../../Matlab/FIR_normal_HLS.h' from C:/HLS-multirate-DSP/HLS_FIR/Transposed_Folded_FIR_HLS/hls_config.cfg(9)
INFO: [HLS 200-10] Adding design file 'C:/HLS-multirate-DSP/Matlab/FIR_normal_HLS.h' to the project
INFO: [HLS 200-1465] Applying ini 'tb.file=FIR_HLS_TB.cpp' from C:/HLS-multirate-DSP/HLS_FIR/Transposed_Folded_FIR_HLS/hls_config.cfg(10)
INFO: [HLS 200-10] Adding test bench file 'C:/HLS-multirate-DSP/HLS_FIR/Transposed_Folded_FIR_HLS/FIR_HLS_TB.cpp' to the project
INFO: [HLS 200-1465] Applying ini 'tb.file=../../Matlab/TS_HLS_normal.dat' from C:/HLS-multirate-DSP/HLS_FIR/Transposed_Folded_FIR_HLS/hls_config.cfg(11)
INFO: [HLS 200-10] Adding test bench file 'C:/HLS-multirate-DSP/Matlab/TS_HLS_normal.dat' to the project
INFO: [HLS 200-1465] Applying ini 'tb.file=../../Matlab/TS_HLS_normal.res' from C:/HLS-multirate-DSP/HLS_FIR/Transposed_Folded_FIR_HLS/hls_config.cfg(12)
INFO: [HLS 200-10] Adding test bench file 'C:/HLS-multirate-DSP/Matlab/TS_HLS_normal.res' to the project
INFO: [HLS 200-1465] Applying ini 'syn.top=FIR_HLS' from C:/HLS-multirate-DSP/HLS_FIR/Transposed_Folded_FIR_HLS/hls_config.cfg(13)
INFO: [HLS 200-1465] Applying ini 'flow_target=vivado' from C:/HLS-multirate-DSP/HLS_FIR/Transposed_Folded_FIR_HLS/hls_config.cfg(4)
INFO: [HLS 200-1505] Using flow_target 'vivado'
Resolution: For help on HLS 200-1505 see docs.xilinx.com/access/sources/dita/topic?Doc_Version=2024.2%20English&url=ug1448-hls-guidance&resourceid=200-1505.html
INFO: [HLS 200-1465] Applying ini 'part=xck26-sfvc784-2LV-c' from C:/HLS-multirate-DSP/HLS_FIR/Transposed_Folded_FIR_HLS/hls_config.cfg(1)
INFO: [HLS 200-1611] Setting target device to 'xck26-sfvc784-2LV-c'
INFO: [HLS 200-1465] Applying ini 'package.output.format=ip_catalog' from C:/HLS-multirate-DSP/HLS_FIR/Transposed_Folded_FIR_HLS/hls_config.cfg(5)
INFO: [SIM 211-2] *************** CSIM start ***************
INFO: [SIM 211-4] CSIM will launch CLANG as the compiler.
INFO: [HLS 200-2036] Building debug C Simulation binaries
   Compiling ../../../../FIR_HLS.cpp in debug mode
   Generating csim.exe
In file included from ../../../../FIR_HLS.cpp:1:
In file included from ../../../../FIR_HLS.h:2:
In file included from C:/AMD/Vitis/2024.2/include/ap_fixed.h:9:
In file included from C:/AMD/Vitis/2024.2/include/etc/ap_common.h:658:
In file included from C:/AMD/Vitis/2024.2/include/etc/ap_private.h:68:
In file included from C:/AMD/Vitis/2024.2/include/hls_half.h:26:
In file included from C:/AMD/Vitis/2024.2/include/etc/hls_half_fpo.h:19:
In file included from C:/AMD/Vitis/2024.2/include/hls_fpo.h:140:
In file included from C:/AMD/Vitis/2024.2/include/floating_point_v7_1_bitacc_cmodel.h:150:
C:/AMD/Vitis/2024.2/include/gmp.h:58:9: warning: '__GMP_LIBGMP_DLL' macro redefined [-Wmacro-redefined]
#define __GMP_LIBGMP_DLL  0
        ^
C:/AMD/Vitis/2024.2/include/floating_point_v7_1_bitacc_cmodel.h:142:9: note: previous definition is here
#define __GMP_LIBGMP_DLL 1
        ^
1 warning generated.
INFO: Reading ../../../../../../Matlab/TS_HLS_normal.dat
INFO: Read 460 samples from ../../../../../../Matlab/TS_HLS_normal.dat
INFO: Reading ../../../../../../Matlab/TS_HLS_normal.res
INFO: Read 460 samples from ../../../../../../Matlab/TS_HLS_normal.res
INFO: Input and reference data lengths match.
Mismatch at sample  197: ref=0.205811, dut=0.252625
Mismatch at sample  198: ref=0.294556, dut=0.372314
Mismatch at sample  199: ref=0.392212, dut=0.486115
Mismatch at sample  200: ref=0.494934, dut=0.592224
Mismatch at sample  201: ref=0.598419, dut=0.689026
Mismatch at sample  202: ref=0.698212, dut=0.774933
Mismatch at sample  203: ref=0.789948, dut=0.848633
Mismatch at sample  204: ref=0.869781, dut=0.908966
Mismatch at sample  205: ref=0.934509, dut=0.954926
Mismatch at sample  206: ref=0.981781, dut=0.98587
Mismatch at sample  207: ref=-0.989838, dut=-0.998779
Mismatch at sample  208: ref=-0.980865, dut=-0.999176
Mismatch at sample  209: ref=-0.990906, dut=0.984619
Mismatch at sample  210: ref=0.980988, dut=0.952881
Mismatch at sample  211: ref=0.93631, dut=0.906128
Mismatch at sample  212: ref=0.876892, dut=0.845062
Mismatch at sample  213: ref=0.804565, dut=0.770691
Mismatch at sample  214: ref=0.721191, dut=0.684174
Mismatch at sample  215: ref=0.628448, dut=0.586853
Mismatch at sample  216: ref=0.527832, dut=0.480255
Mismatch at sample  217: ref=0.420593, dut=0.366119
Mismatch at sample  218: ref=0.307922, dut=0.246185
Mismatch at sample  219: ref=0.190918, dut=0.122375
Mismatch at sample  220: ref=0.0707397, dut=-0.00335693
Mismatch at sample  221: ref=-0.0513306, dut=-0.129028
Mismatch at sample  222: ref=-0.173798, dut=-0.252686
Mismatch at sample  223: ref=-0.294922, dut=-0.372375
Mismatch at sample  224: ref=-0.412842, dut=-0.486176
Mismatch at sample  225: ref=-0.525391, dut=-0.592285
Mismatch at sample  226: ref=-0.630432, dut=-0.689087
Mismatch at sample  227: ref=-0.725769, dut=-0.774994
Mismatch at sample  228: ref=-0.809418, dut=-0.848694
Mismatch at sample  229: ref=-0.879639, dut=-0.909027
Mismatch at sample  230: ref=-0.934998, dut=-0.954987
Mismatch at sample  231: ref=-0.974518, dut=-0.985931
Mismatch at sample  232: ref=-0.99762, dut=0.998718
Mismatch at sample  233: ref=0.99585, dut=0.999115
Mismatch at sample  234: ref=-0.994354, dut=-0.98468
Mismatch at sample  235: ref=-0.968781, dut=-0.952942
Mismatch at sample  236: ref=-0.928192, dut=-0.906189
Mismatch at sample  237: ref=-0.873566, dut=-0.845123
Mismatch at sample  238: ref=-0.806, dut=-0.770752
Mismatch at sample  239: ref=-0.726624, dut=-0.684235
Mismatch at sample  240: ref=-0.636597, dut=-0.586914
Mismatch at sample  241: ref=-0.53714, dut=-0.480316
Mismatch at sample  242: ref=-0.429535, dut=-0.36618
Mismatch at sample  243: ref=-0.315155, dut=-0.246246
Mismatch at sample  244: ref=-0.195526, dut=-0.122437
Mismatch at sample  245: ref=-0.0722351, dut=0.0032959
Mismatch at sample  246: ref=0.052887, dut=0.128998
Mismatch at sample  247: ref=0.177917, dut=0.252625
Mismatch at sample  248: ref=0.300751, dut=0.372314
Mismatch at sample  249: ref=0.419342, dut=0.486115
Mismatch at sample  250: ref=0.531525, dut=0.592224
Mismatch at sample  251: ref=0.635223, dut=0.689026
Mismatch at sample  252: ref=0.728638, dut=0.774933
Mismatch at sample  253: ref=0.810028, dut=0.848633
Mismatch at sample  254: ref=0.878021, dut=0.908966
Mismatch at sample  255: ref=0.93158, dut=0.954926
Mismatch at sample  256: ref=0.96994, dut=0.98587
Mismatch at sample  257: ref=0.992645, dut=-0.998779
Mismatch at sample  258: ref=0.999573, dut=-0.999176
Mismatch at sample  259: ref=0.990845, dut=0.984619
Mismatch at sample  260: ref=0.966827, dut=0.952881
Mismatch at sample  261: ref=0.928009, dut=0.906128
Mismatch at sample  262: ref=0.875092, dut=0.845062
Mismatch at sample  263: ref=0.808868, dut=0.770691
Mismatch at sample  264: ref=0.730316, dut=0.684174
Mismatch at sample  265: ref=0.640503, dut=0.586853
Mismatch at sample  266: ref=0.540619, dut=0.480255
Mismatch at sample  267: ref=0.432068, dut=0.366119
Mismatch at sample  268: ref=0.316406, dut=0.246185
Mismatch at sample  269: ref=0.195343, dut=0.122375
Mismatch at sample  270: ref=0.0707092, dut=-0.00335693
Mismatch at sample  271: ref=-0.0554504, dut=-0.129028
Mismatch at sample  272: ref=-0.181061, dut=-0.252686
Mismatch at sample  273: ref=-0.303986, dut=-0.372375
Mismatch at sample  274: ref=-0.42215, dut=-0.486176
Mismatch at sample  275: ref=-0.533478, dut=-0.592285
Mismatch at sample  276: ref=-0.636078, dut=-0.689087
Mismatch at sample  277: ref=-0.728271, dut=-0.774994
Mismatch at sample  278: ref=-0.808594, dut=-0.848694
Mismatch at sample  279: ref=-0.875793, dut=-0.909027
Mismatch at sample  280: ref=-0.928925, dut=-0.954987
Mismatch at sample  281: ref=-0.967316, dut=-0.985931
Mismatch at sample  282: ref=-0.990448, dut=0.998718
Mismatch at sample  283: ref=-0.998169, dut=0.999115
Mismatch at sample  284: ref=-0.990417, dut=-0.98468
